date,away_team,away_score,home_team,home_score,note,score_diff
2025-10-30,Jefferson **,24,John Champe (VA),22,,2
2025-10-30,Phelps (KY) **,24,Mt. View,14,,10
2025-10-30,Chesapeake (MD) **,41,Southern Harwood (MD),20,,21
2025-10-30,Oakland (TN) **,35,Riverdale (TN),21,,14
2025-10-30,Bland (VA) **,52,Twin Valley (VA),50,,2
2025-10-30,Broad Run (VA) **,35,Park View-Sterling (VA),0,,35
2025-10-30,Graham (VA) **,59,Tazewell (VA),0,,59
2025-10-30,Heritage (VA) **,45,Rock Ridge (VA),0,,45
2025-10-30,Loudoun County (VA),21,Woodgrove (VA) **,20,,1
2025-10-30,Randolph Henry (VA) **,50,Smith Mountain Christian (VA),6,,44
2025-10-30,Sherando (VA),55,Fauquier (VA) **,7,,48
2025-10-31,Calhoun County **,41,Webster County,28,,13
2025-10-31,Cameron,8,East Hardy **,7,,1
2025-10-31,Clay-Battelle **,16,Oak Glen,8,,8
2025-10-31,Magnolia,46,Valley-Wetzel **,6,,40
2025-10-31,Man **,28,Tug Valley,6,,22
2025-10-31,Montcalm **,28,Richwood,0,,28
2025-10-31,Pendleton County,41,Moorefield **,22,,19
2025-10-31,Pocahontas County,41,Tygarts Valley **,16,,25
2025-10-31,Ritchie County,48,Ravenswood **,22,,26
2025-10-31,Sherman,42,Scott **,34,,8
2025-10-31,St. Marys **,21,Tyler Consolidated,18,,3
2025-10-31,Wahama **,68,Gilmer County,6,,62
2025-10-31,Wirt County **,31,Tolsia,28,,3
2025-10-31,Bluefield,48,River View **,0,,48
2025-10-31,Buffalo,64,Meadow Bridge **,52,,12
2025-10-31,Doddridge County **,53,Lincoln,20,,33
2025-10-31,Independence **,28,Nicholas County,27,,1
2025-10-31,Logan,41,St. Albans **,6,,35
2025-10-31,Midland Trail,55,Greenbrier West **,8,,47
2025-10-31,Petersburg,23,Tucker County **,0,,23
2025-10-31,Philip Barbour **,52,East Fairmont,14,,38
2025-10-31,Roane County **,44,Poca,0,,44
2025-10-31,Sissonville **,42,Lincoln County,16,,26
2025-10-31,Williamstown,46,Wayne **,26,,20
2025-10-31,Bridgeport **,62,Fairmont Sr.,28,,34
2025-10-31,Brooke,46,Weir **,10,,36
2025-10-31,Chapmanville Regional **,46,Mingo Central,0,,46
2025-10-31,Greenbrier East **,29,James Monroe,14,,15
2025-10-31,Herbert Hoover **,47,Parkersburg,14,,33
2025-10-31,John Marshall **,53,Pt. Pleasant,21,,32
2025-10-31,Keyser,27,Mt. Ridge (MD) **,21,,6
2025-10-31,Lewis County,33,Berkeley Springs **,7,,26
2025-10-31,Nitro **,22,Capital,20,,2
2025-10-31,North Marion **,34,Grafton,14,,20
2025-10-31,PikeView **,52,Roanoke Catholic (VA),20,,32
2025-10-31,Princeton,55,Hurricane **,8,,47
2025-10-31,Shady Spring,12,Westside **,8,,4
2025-10-31,Spring Valley,57,South Charleston **,20,,37
2025-10-31,Winfield,42,Riverside **,28,,14
2025-10-31,Buckhannon-Upshur **,60,Preston,57,,3
2025-10-31,Hedgesville **,21,Dominion (VA),13,,8
2025-10-31,Huntington **,42,Cabell Midland,0,,42
2025-10-31,Morgantown,21,University **,0,,21
2025-10-31,Musselman,44,Washington **,0,,44
2025-10-31,Spring Mills,41,Parkersburg South **,0,,41
2025-10-31,Woodrow Wilson **,49,Oak Hill,13,,36
2025-10-31,Dunbar (DC),46,Woodson (DC) **,6,,40
2025-10-31,Pikeville (KY) **,42,Bracken County (KY),7,,35
2025-10-31,Boonsboro (MD) **,43,Smithburg (MD),7,,36
2025-10-31,Century (MD),13,Liberty (MD) **,8,,5
2025-10-31,Clear Spring (MD),1,Hancock (MD) **,0,,1
2025-10-31,Northern Garrett County (MD) **,42,Southern Garrett County (MD),7,,35
2025-10-31,Sevier County (TN),40,Morristown-Hamblen W (TN) **,7,,33
2025-10-31,Alleghany Highlands (VA) **,35,Fort Defiance (VA),21,,14
2025-10-31,Heritage-Lynchburg (VA) **,35,Liberty Christian (VA),33,,2
2025-10-31,Hurley (VA) **,44,Castlewood (VA),6,,38
2025-10-31,Loudoun Valley (VA) **,47,Tuscarora (VA),0,,47
2025-10-31,McCluer (VA),28,Bath County (VA) **,12,,16
2025-10-31,Narrows (VA),42,Craig County (VA) **,21,,21
2025-10-31,Strasburg (VA),56,Madison County (VA) **,13,,43
2025-11-01,Liberty-Raleigh **,40,Summers County,34,,6
2025-11-01,Archbishop Carroll (DC) **,43,Bishop OConnell (VA),0,,43
2025-11-01,Fort Hill (MD),57,Allegany (MD) **,13,,44
2025-11-01,Kiski Prep (PA) **,21,Linsly (WV),17,,4
